"rules","support","confidence","coverage","lift","count"
"1","{} => {TP=1}",0.355963302752294,0.355963302752294,1,1,194
"2","{Time=15} => {TP=1}",0.0073394495412844,0.5,0.0146788990825688,1.40463917525773,4
"3","{Time=9} => {TP=1}",0.0055045871559633,0.3,0.018348623853211,0.842783505154639,3
"4","{Time=12} => {TP=1}",0.0073394495412844,0.333333333333333,0.0220183486238532,0.936426116838488,4
"5","{Time=21} => {TP=1}",0.0073394495412844,0.333333333333333,0.0220183486238532,0.936426116838488,4
"6","{Time=17} => {TP=1}",0.0128440366972477,0.538461538461538,0.0238532110091743,1.51268834258525,7
"7","{Time=20} => {TP=1}",0.0146788990825688,0.615384615384615,0.0238532110091743,1.72878667724029,8
"8","{Time=22} => {TP=1}",0.0110091743119266,0.4,0.0275229357798165,1.12371134020619,6
"9","{Time=11} => {TP=1}",0.0110091743119266,0.375,0.0293577981651376,1.0534793814433,6
"10","{Time=14} => {TP=1}",0.0220183486238532,0.705882352941177,0.0311926605504587,1.98302001212856,12
"11","{Time=4} => {TP=1}",0.018348623853211,0.5,0.036697247706422,1.40463917525773,10
"12","{Time=19} => {TP=1}",0.0146788990825688,0.333333333333333,0.0440366972477064,0.936426116838488,8
"13","{Time=3} => {TP=1}",0.0201834862385321,0.44,0.0458715596330275,1.2360824742268,11
"14","{Time=2} => {TP=1}",0.018348623853211,0.357142857142857,0.0513761467889908,1.00331369661267,10
"15","{Time=18} => {TP=1}",0.0275229357798165,0.483870967741935,0.0568807339449541,1.35932823412039,15
"16","{Time=1} => {TP=1}",0.0201834862385321,0.305555555555556,0.0660550458715596,0.858390607101947,11
"17","{Time=23} => {TP=1}",0.0220183486238532,0.307692307692308,0.0715596330275229,0.864393338620143,12
"18","{Time=0} => {TP=1}",0.0348623853211009,0.333333333333333,0.104587155963303,0.936426116838488,19
"19","{Time=5} => {TP=1}",0.0385321100917431,0.344262295081967,0.111926605504587,0.967128612472537,21
"20","{Pair=XAUUSD} => {TP=1}",0.0788990825688073,0.333333333333333,0.236697247706422,0.936426116838488,43
"21","{Pair=AUDNZD} => {TP=1}",0.110091743119266,0.441176470588235,0.24954128440367,1.23938750758035,60
"22","{Pair=EURCAD} => {TP=1}",0.0844036697247706,0.333333333333333,0.253211009174312,0.936426116838488,46
"23","{Pair=GBPJPY} => {TP=1}",0.0825688073394495,0.316901408450704,0.260550458715596,0.890264266008422,45
"24","{Local Correct=1} => {TP=1}",0.170642201834862,0.484375,0.352293577981651,1.36074420103093,93
"25","{Global Correct=0} => {TP=1}",0.190825688073395,0.392452830188679,0.486238532110092,1.10250923944758,104
"26","{Global Correct=1} => {TP=1}",0.165137614678899,0.321428571428571,0.513761467889908,0.902982326951399,90
"27","{Pair=EURCAD,Time=10} => {TP=1}",0.0018348623853211,0.333333333333333,0.0055045871559633,0.936426116838488,1
"28","{Pair=AUDNZD,Time=13} => {TP=1}",0.0036697247706422,0.4,0.00917431192660551,1.12371134020619,2
"29","{Time=13,Global Correct=1} => {TP=1}",0.0018348623853211,0.5,0.0036697247706422,1.40463917525773,1
"30","{Time=13,Local Correct=0} => {TP=1}",0.0018348623853211,0.333333333333333,0.0055045871559633,0.936426116838488,1
"31","{Pair=AUDNZD,Time=15} => {TP=1}",0.0036697247706422,0.4,0.00917431192660551,1.12371134020619,2
"32","{Pair=GBPJPY,Time=15} => {TP=1}",0.0036697247706422,1,0.0036697247706422,2.80927835051546,2
"33","{Time=15,Local Correct=1} => {TP=1}",0.0018348623853211,1,0.0018348623853211,2.80927835051546,1
"34","{Time=15,Global Correct=0} => {TP=1}",0.0018348623853211,0.333333333333333,0.0055045871559633,0.936426116838488,1
"35","{Time=15,Global Correct=1} => {TP=1}",0.0055045871559633,0.6,0.00917431192660551,1.68556701030928,3
"36","{Time=15,Local Correct=0} => {TP=1}",0.0055045871559633,0.428571428571429,0.0128440366972477,1.2039764359352,3
"37","{Pair=XAUUSD,Time=9} => {TP=1}",0.0018348623853211,0.333333333333333,0.0055045871559633,0.936426116838488,1
"38","{Pair=EURCAD,Time=9} => {TP=1}",0.0018348623853211,0.5,0.0036697247706422,1.40463917525773,1
"39","{Pair=GBPJPY,Time=9} => {TP=1}",0.0018348623853211,0.5,0.0036697247706422,1.40463917525773,1
"40","{Time=9,Global Correct=0} => {TP=1}",0.0036697247706422,0.4,0.00917431192660551,1.12371134020619,2
"41","{Time=9,Local Correct=0} => {TP=1}",0.0055045871559633,0.5,0.0110091743119266,1.40463917525773,3
"42","{Pair=XAUUSD,Time=8} => {TP=1}",0.0036697247706422,1,0.0036697247706422,2.80927835051546,2
"43","{Time=8,Local Correct=1} => {TP=1}",0.0055045871559633,1,0.0055045871559633,2.80927835051546,3
"44","{Time=8,Global Correct=0} => {TP=1}",0.0055045871559633,0.375,0.0146788990825688,1.0534793814433,3
"45","{Pair=AUDNZD,Time=12} => {TP=1}",0.0055045871559633,0.6,0.00917431192660551,1.68556701030928,3
"46","{Pair=EURCAD,Time=12} => {TP=1}",0.0018348623853211,0.333333333333333,0.0055045871559633,0.936426116838488,1
"47","{Time=12,Local Correct=1} => {TP=1}",0.0055045871559633,0.428571428571429,0.0128440366972477,1.2039764359352,3
"48","{Time=12,Global Correct=1} => {TP=1}",0.0055045871559633,0.6,0.00917431192660551,1.68556701030928,3
"49","{Pair=XAUUSD,Time=21} => {TP=1}",0.0018348623853211,0.333333333333333,0.0055045871559633,0.936426116838488,1
"50","{Pair=AUDNZD,Time=21} => {TP=1}",0.0036697247706422,0.666666666666667,0.0055045871559633,1.87285223367698,2
"51","{Pair=GBPJPY,Time=21} => {TP=1}",0.0018348623853211,0.333333333333333,0.0055045871559633,0.936426116838488,1
"52","{Time=21,Local Correct=1} => {TP=1}",0.0036697247706422,0.4,0.00917431192660551,1.12371134020619,2
"53","{Time=21,Global Correct=0} => {TP=1}",0.0036697247706422,0.4,0.00917431192660551,1.12371134020619,2
"54","{Pair=EURCAD,Time=17} => {TP=1}",0.0018348623853211,1,0.0018348623853211,2.80927835051546,1
"55","{Pair=GBPJPY,Time=17} => {TP=1}",0.00917431192660551,0.714285714285714,0.0128440366972477,2.00662739322533,5
"56","{Time=17,Local Correct=1} => {TP=1}",0.00917431192660551,0.555555555555556,0.0165137614678899,1.56071019473081,5
"57","{Time=17,Global Correct=0} => {TP=1}",0.0110091743119266,0.857142857142857,0.0128440366972477,2.4079528718704,6
"58","{Time=17,Local Correct=0} => {TP=1}",0.0036697247706422,0.5,0.0073394495412844,1.40463917525773,2
"59","{Pair=XAUUSD,Time=20} => {TP=1}",0.0018348623853211,1,0.0018348623853211,2.80927835051546,1
"60","{Pair=AUDNZD,Time=20} => {TP=1}",0.0055045871559633,1,0.0055045871559633,2.80927835051546,3
"61","{Pair=GBPJPY,Time=20} => {TP=1}",0.0055045871559633,0.6,0.00917431192660551,1.68556701030928,3
"62","{Time=20,Local Correct=1} => {TP=1}",0.0055045871559633,0.6,0.00917431192660551,1.68556701030928,3
"63","{Time=20,Global Correct=0} => {TP=1}",0.0055045871559633,0.6,0.00917431192660551,1.68556701030928,3
"64","{Time=20,Global Correct=1} => {TP=1}",0.00917431192660551,0.625,0.0146788990825688,1.75579896907216,5
"65","{Time=20,Local Correct=0} => {TP=1}",0.00917431192660551,0.625,0.0146788990825688,1.75579896907216,5
"66","{Pair=XAUUSD,Time=22} => {TP=1}",0.0036697247706422,0.4,0.00917431192660551,1.12371134020619,2
"67","{Pair=AUDNZD,Time=22} => {TP=1}",0.0036697247706422,1,0.0036697247706422,2.80927835051546,2
"68","{Pair=EURCAD,Time=22} => {TP=1}",0.0018348623853211,1,0.0018348623853211,2.80927835051546,1
"69","{Time=22,Local Correct=1} => {TP=1}",0.00917431192660551,0.833333333333333,0.0110091743119266,2.34106529209622,5
