rules,support,confidence,coverage,lift,count
{Time=14},0.0220183486238532,0.705882352941177,0.0311926605504587,1.98302001212856,12
{Time=20},0.0146788990825688,0.615384615384615,0.0238532110091743,1.72878667724029,8
{Time=17},0.0128440366972477,0.538461538461538,0.0238532110091743,1.51268834258525,7
{Time=4},0.018348623853211,0.5,0.036697247706422,1.40463917525773,10
{Time=18},0.0275229357798165,0.483870967741935,0.0568807339449541,1.35932823412039,15
{Time=3},0.0201834862385321,0.44,0.0458715596330275,1.2360824742268,11
{Time=22},0.0110091743119266,0.4,0.0275229357798165,1.12371134020619,6
{Time=11},0.0110091743119266,0.375,0.0293577981651376,1.0534793814433,6
{Time=2},0.018348623853211,0.357142857142857,0.0513761467889908,1.00331369661267,10
{},0.355963302752294,0.355963302752294,1,1,194
{Time=5},0.0385321100917431,0.344262295081967,0.111926605504587,0.967128612472537,21
{Time=19},0.0146788990825688,0.333333333333333,0.0440366972477064,0.936426116838488,8
{Time=0},0.0348623853211009,0.333333333333333,0.104587155963303,0.936426116838488,19
{Time=23},0.0220183486238532,0.307692307692308,0.0715596330275229,0.864393338620143,12
{Time=1},0.0201834862385321,0.305555555555556,0.0660550458715596,0.858390607101947,11
